id_no,level,area,system:time_start
L1_RET_090401,1,AfNE,1238544000000
L1_RET_090402,1,AfNE,1238630400000
L1_RET_090403,1,AfNE,1238716800000
L1_RET_090404,1,AfNE,1238803200000
L1_RET_090405,1,AfNE,1238889600000
L1_RET_090406,1,AfNE,1238976000000
L1_RET_090407,1,AfNE,1239062400000
L1_RET_090408,1,AfNE,1239148800000
L1_RET_090409,1,AfNE,1239235200000
L1_RET_090410,1,AfNE,1239321600000
L1_RET_090411,1,AfNE,1239408000000
L1_RET_090412,1,AfNE,1239494400000
L1_RET_090413,1,AfNE,1239580800000
L1_RET_090414,1,AfNE,1239667200000
L1_RET_090415,1,AfNE,1239753600000
L1_RET_090416,1,AfNE,1239840000000
L1_RET_090417,1,AfNE,1239926400000
L1_RET_090418,1,AfNE,1240012800000
L1_RET_090419,1,AfNE,1240099200000
L1_RET_090420,1,AfNE,1240185600000
L1_RET_090421,1,AfNE,1240272000000
L1_RET_090422,1,AfNE,1240358400000
L1_RET_090423,1,AfNE,1240444800000
L1_RET_090424,1,AfNE,1240531200000
L1_RET_090425,1,AfNE,1240617600000
L1_RET_090426,1,AfNE,1240704000000
L1_RET_090427,1,AfNE,1240790400000
L1_RET_090428,1,AfNE,1240876800000
L1_RET_090429,1,AfNE,1240963200000
L1_RET_090430,1,AfNE,1241049600000
L1_RET_090501,1,AfNE,1241136000000
L1_RET_090502,1,AfNE,1241222400000
L1_RET_090503,1,AfNE,1241308800000
L1_RET_090504,1,AfNE,1241395200000
L1_RET_090505,1,AfNE,1241481600000
L1_RET_090506,1,AfNE,1241568000000
L1_RET_090507,1,AfNE,1241654400000
L1_RET_090508,1,AfNE,1241740800000
L1_RET_090509,1,AfNE,1241827200000
L1_RET_090510,1,AfNE,1241913600000
L1_RET_090511,1,AfNE,1242000000000
L1_RET_090512,1,AfNE,1242086400000
L1_RET_090513,1,AfNE,1242172800000
L1_RET_090514,1,AfNE,1242259200000
L1_RET_090515,1,AfNE,1242345600000
L1_RET_090516,1,AfNE,1242432000000
L1_RET_090517,1,AfNE,1242518400000
L1_RET_090518,1,AfNE,1242604800000
L1_RET_090519,1,AfNE,1242691200000
L1_RET_090520,1,AfNE,1242777600000
L1_RET_090521,1,AfNE,1242864000000
L1_RET_090522,1,AfNE,1242950400000
L1_RET_090523,1,AfNE,1243036800000
L1_RET_090524,1,AfNE,1243123200000
L1_RET_090525,1,AfNE,1243209600000
L1_RET_090526,1,AfNE,1243296000000
L1_RET_090527,1,AfNE,1243382400000
L1_RET_090528,1,AfNE,1243468800000
L1_RET_090529,1,AfNE,1243555200000
L1_RET_090530,1,AfNE,1243641600000
L1_RET_090531,1,AfNE,1243728000000
L1_RET_090601,1,AfNE,1243814400000
L1_RET_090602,1,AfNE,1243900800000
L1_RET_090603,1,AfNE,1243987200000
L1_RET_090604,1,AfNE,1244073600000
L1_RET_090605,1,AfNE,1244160000000
L1_RET_090606,1,AfNE,1244246400000
L1_RET_090607,1,AfNE,1244332800000
L1_RET_090608,1,AfNE,1244419200000
L1_RET_090609,1,AfNE,1244505600000
L1_RET_090610,1,AfNE,1244592000000
L1_RET_090611,1,AfNE,1244678400000
L1_RET_090612,1,AfNE,1244764800000
L1_RET_090613,1,AfNE,1244851200000
L1_RET_090614,1,AfNE,1244937600000
L1_RET_090615,1,AfNE,1245024000000
L1_RET_090616,1,AfNE,1245110400000
L1_RET_090617,1,AfNE,1245196800000
L1_RET_090618,1,AfNE,1245283200000
L1_RET_090619,1,AfNE,1245369600000
L1_RET_090620,1,AfNE,1245456000000
L1_RET_090621,1,AfNE,1245542400000
L1_RET_090622,1,AfNE,1245628800000
L1_RET_090623,1,AfNE,1245715200000
L1_RET_090624,1,AfNE,1245801600000
L1_RET_090625,1,AfNE,1245888000000
L1_RET_090626,1,AfNE,1245974400000
L1_RET_090627,1,AfNE,1246060800000
L1_RET_090628,1,AfNE,1246147200000
L1_RET_090629,1,AfNE,1246233600000
L1_RET_090630,1,AfNE,1246320000000
L1_RET_090701,1,AfNE,1246406400000
L1_RET_090702,1,AfNE,1246492800000
L1_RET_090703,1,AfNE,1246579200000
L1_RET_090704,1,AfNE,1246665600000
L1_RET_090705,1,AfNE,1246752000000
L1_RET_090706,1,AfNE,1246838400000
L1_RET_090707,1,AfNE,1246924800000
L1_RET_090708,1,AfNE,1247011200000
L1_RET_090709,1,AfNE,1247097600000
L1_RET_090710,1,AfNE,1247184000000
L1_RET_090711,1,AfNE,1247270400000
L1_RET_090712,1,AfNE,1247356800000
L1_RET_090713,1,AfNE,1247443200000
L1_RET_090714,1,AfNE,1247529600000
L1_RET_090715,1,AfNE,1247616000000
L1_RET_090716,1,AfNE,1247702400000
L1_RET_090717,1,AfNE,1247788800000
L1_RET_090718,1,AfNE,1247875200000
L1_RET_090719,1,AfNE,1247961600000
L1_RET_090720,1,AfNE,1248048000000
L1_RET_090721,1,AfNE,1248134400000
L1_RET_090722,1,AfNE,1248220800000
L1_RET_090723,1,AfNE,1248307200000
L1_RET_090724,1,AfNE,1248393600000
L1_RET_090725,1,AfNE,1248480000000
L1_RET_090726,1,AfNE,1248566400000
L1_RET_090727,1,AfNE,1248652800000
L1_RET_090728,1,AfNE,1248739200000
L1_RET_090729,1,AfNE,1248825600000
L1_RET_090730,1,AfNE,1248912000000
L1_RET_090731,1,AfNE,1248998400000
L1_RET_090801,1,AfNE,1249084800000
L1_RET_090802,1,AfNE,1249171200000
L1_RET_090803,1,AfNE,1249257600000
L1_RET_090804,1,AfNE,1249344000000
L1_RET_090805,1,AfNE,1249430400000
L1_RET_090806,1,AfNE,1249516800000
L1_RET_090807,1,AfNE,1249603200000
L1_RET_090808,1,AfNE,1249689600000
L1_RET_090809,1,AfNE,1249776000000
L1_RET_090810,1,AfNE,1249862400000
